epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,85.2405,0,35.8297,0,0,0,0,0,0,0,0,0.000475609,0.000475609,0.000475609
2,161.797,0,7.28158,0,0,0,0,0,0,0,0,0.000763458,0.000763458,0.000763458
3,239.931,0,0.63966,0,0,0,0,0,0,0.88839,0,0.000862679,0.000862679,0.000862679
4,311.047,0,0.05345,0,0,0,0,0,0,0.02172,0,0.000580174,0.000580174,0.000580174
